URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM094-C196-0048>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0048/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0048/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0048>,"""VM094-C196-0048""","""VM094-C196-0048""",,,"""9""","""VM094-C196-0048"""
<http://data.qdmtl.ca/record/VM094-C196-0049>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0049/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0049/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0049>,"""VM094-C196-0049""","""VM094-C196-0049""",,,"""41""","""VM094-C196-0049"""
<http://data.qdmtl.ca/record/VM094-C196-0050>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0050/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0050/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0050>,"""VM094-C196-0050""","""VM094-C196-0050""",,,"""9""","""VM094-C196-0050"""
<http://data.qdmtl.ca/record/VM094-C196-0051>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0051/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0051/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0051>,"""VM094-C196-0051""","""VM094-C196-0051""",,,"""9""","""VM094-C196-0051"""
<http://data.qdmtl.ca/record/VM094-C196-0052>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0052/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0052/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0052>,"""VM094-C196-0052""","""VM094-C196-0052""",,,"""9""","""VM094-C196-0052"""
<http://data.qdmtl.ca/record/VM094-C196-0053>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0053/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0053/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0053>,"""VM094-C196-0053""","""VM094-C196-0053""",,,"""9""","""VM094-C196-0053"""
<http://data.qdmtl.ca/record/VM094-C196-0054>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0054/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0054/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0054>,"""VM094-C196-0054""","""VM094-C196-0054""",,,"""9""","""VM094-C196-0054"""
<http://data.qdmtl.ca/record/VM094-C196-0055>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0055/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0055/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0055>,"""VM094-C196-0055""","""VM094-C196-0055""",,,"""9""","""VM094-C196-0055"""
<http://data.qdmtl.ca/record/VM094-C196-0056>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0056/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0056/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0056>,"""VM094-C196-0056""","""VM094-C196-0056""",,,"""9""","""VM094-C196-0056"""
<http://data.qdmtl.ca/record/VM094-C196-0057>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0057/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0057/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0057>,"""VM094-C196-0057""","""VM094-C196-0057""",,,"""9""","""VM094-C196-0057"""
